Primary Street,1st Cross Street,2nd Cross Street,Co1,Co2,2011,2012,2013,2014,2015
NORTH HARBOR DR,LAUREL ST,HAWTHORN ST,"(32.7277016, -117.1769424)","(32.7277016, -117.1769424)",36500,36500,55300,55300,55300
NORTH HARBOR DR,HAWTHORN ST,GRAPE ST,"(32.7250413, -117.1735078)","(32.7250413, -117.1735078)",29500,29500,35100,37600,37600
NORTH HARBOR DR,GRAPE ST,ASH ST,"(32.7242492, -117.173257)","(32.7242492, -117.173257)",16900,16900,18900,23500,23500
NORTH HARBOR DR,ASH ST,BROADWAY,"(32.7198557, -117.1730626)","(32.7198557, -117.1730626)",13900,13900,13900,18200,18200
NORTH HARBOR DR,BROADWAY,HARBOR DR,"(32.7156471, -117.1729499)","(32.7156471, -117.1729499)",9800,9800,9800,9600,9600
NORTH MISSION BAY DR,MISSION BAY DR,DE ANZA RD,"(32.7980117, -117.2113687)","(32.7980117, -117.2113687)",4500,42000,42000,42000,3200
NORTH MISSION BAY DR,DE ANZA RD,END,"(32.798714, -117.21582)","(32.798714, -117.21582)",1300,1300,1300,1100,1100
NORTH PARK WY,UTAH ST,30TH ST,"(32.7473509, -117.1328013)","(32.7473509, -117.1328013)",3100,3100,3100,3100,3100
NORTH PARK WY,30TH ST,32ND ST,"(32.7473587, -117.1300828)","(32.7473587, -117.1300828)",7100,7100,7100,7100,7100
NORTH PARK WY,32ND ST,BOUNDARY ST,"(32.7474153, -117.125015)","(32.7474153, -117.125015)",8400,8400,7100,7100,7100
NORTH TORREY PINES RD,CARMEL VALLEY RD,CALLAN RD,"(32.9387898, -117.2612227)","(32.9387898, -117.2612227)",15300,15300,15300,18600,16000
NORTH TORREY PINES RD,CALLAN RD,GENESEE AVE,"(32.9045559, -117.242154)","(32.9045559, -117.242154)",23300,15900,22000,27600,27600
NORTH TORREY PINES RD,GENESEE AVE,LA JOLLA SHORES DR,"(32.8918874, -117.2401547)","(32.8918874, -117.2401547)",17900,17900,17900,17900,19100
NORTH TORREY PINES RD,LA JOLLA SHORES DR,LA JOLLA VILLAGE DR,"(32.8755385, -117.243741)","(32.8755385, -117.243741)",23200,23200,23200,23600,21100
NORTHSIDE DR,BEGIN,FRIARS RD,"(32.7847827, -117.1291277)","(32.7847827, -117.1291277)",5900,20400,20400,20400,19900
OAKRIDGE RD,PARK RIDGE BLVD,END,"(32.8027532, -117.0507233)","(32.8027532, -117.0507233)",2300,2300,2300,2800,2800
OCEAN VIEW BLVD,COMMERCIAL ST,SAMPSON ST,"(32.7052117, -117.1398128)","(32.7052117, -117.1398128)",2200,2200,2200,2200,2200
OCEAN VIEW BLVD,SAMPSON ST,28TH ST,"(32.70213460000001, -117.135325)","(32.70213460000001, -117.135325)",3400,3400,3500,3500,3500
OCEAN VIEW BLVD,28TH ST,30TH ST,"(32.7011686, -117.1338295)","(32.7011686, -117.1338295)",5600,5600,2600,2600,2600
OCEAN VIEW BLVD,30TH ST,32ND ST,"(32.7011944, -117.1295066)","(32.7011944, -117.1295066)",7800,7800,7800,7800,7700
OCEAN VIEW BLVD,32ND ST,ROUTE 15,"(32.7012101, -117.1251819)","(32.7012101, -117.1251819)",16900,16000,16000,16000,15700
OCEAN VIEW BLVD,ROUTE 15,38TH ST,"(32.7025603, -117.1216821)","(32.7025603, -117.1216821)",15600,15600,15600,12600,18000
OCEAN VIEW BLVD,38TH ST,INTERSTATE 805,"(32.7012757, -117.1125159)","(32.7012757, -117.1125159)",6900,6900,10300,6800,6800
OCEAN VIEW BLVD,INTERSTATE 805,47TH ST,"(32.699157, -117.1005462)","(32.699157, -117.1005462)",5000,5000,5000,5400,5400
OHIO ST,ADAMS AVE,MADISON AVE,"(32.7629005, -117.1289702)","(32.7629005, -117.1289702)",8200,8200,8200,8500,8500
OLD PASQUAL RD,SAN PASQUAL RD,ROUTE 78,"(33.090702, -117.0204334)","(33.090702, -117.0204334)",4900,4900,4900,4900,4900
OLD TOWN AVE,HANCOCK ST,SAN DIEGO AVE,"(32.7470318, -117.193503)","(32.7470318, -117.193503)",15000,11700,13600,12400,12400
OLNEY ST,GRAND AVE,PACIFIC BEACH DR,"(32.8003551, -117.2292719)","(32.8003551, -117.2292719)",5000,5000,5000,4400,4800
ORANGE AVE,INTERSTATE 805,35TH ST,"(32.6090376, -117.0367581)","(32.6090376, -117.0367581)",7500,7500,7500,7500,7500
ORANGE AVE,35TH ST,40TH ST,"(32.7533096, -117.1179758)","(32.7533096, -117.1179758)",7400,7400,7100,7100,7100
ORANGE AVE,40TH ST,43RD ST,"(32.753251, -117.109412)","(32.753251, -117.109412)",9900,9900,9800,9800,9800
ORANGE AVE,43RD ST,FAIRMOUNT AVE,"(32.7531917, -117.101941)","(32.7531917, -117.101941)",11800,11800,11800,7200,7200
ORANGE AVE,FAIRMOUNT AVE,EUCLID AVE,"(32.7531794, -117.1008806)","(32.7531794, -117.1008806)",9500,9500,9500,9500,9500
ORANGE AVE,EUCLID AVE,54TH ST,"(32.7531147, -117.0922443)","(32.7531147, -117.0922443)",6400,6400,6400,6400,6100
ORCUTT AVE,ESTRELLA AVE,50TH ST,"(32.7912849, -117.0879688)","(32.7912849, -117.0879688)",4000,4000,4000,2500,2500
ORCUTT AVE,50TH ST,WARING RD,"(32.7912643, -117.0856151)","(32.7912643, -117.0856151)",4200,4200,4200,4300,4300
ORO VISTA RD,IRIS AVE,TOCAYO AVE,"(32.56826, -117.0772499)","(32.56826, -117.0772499)",8800,8800,8800,4800,4800
OSBORNE ST,MARINE VIEW AVE,DIVISION ST,"(32.6838901, -117.1098831)","(32.6838901, -117.1098831)",16400,16400,16400,17300,17300
OTAY CENTER DR,OTAY CENTER CT,SIEMPRE VIVA RD,"(32.5566576, -116.9441119)","(32.5566576, -116.9441119)",3700,3700,3700,3700,3700
OTAY MESA RD,BEYER BLVD,ROUTE 905,"(32.5581911, -117.0407876)","(32.5581911, -117.0407876)",8400,7400,2900,2900,2900
OTAY MESA RD,ROUTE 905,HERITAGE RD,"(32.5683227, -117.0312973)","(32.5683227, -117.0312973)",67000,67000,14500,13100,13100
OTAY MESA RD,HERITAGE RD,CACTUS RD,"(32.5683077, -116.9968681)","(32.5683077, -116.9968681)",64200,9900,9900,9400,9400
OTAY MESA RD,CACTUS RD,RT 905/PASEO INTERN'L,"(32.56817700000001, -116.9883048)","(32.56817700000001, -116.9883048)",42800,9700,9700,9900,9900
OTAY MESA RD,SANYO AVE,E CITY LIMITS,"(32.5675122, -116.9407611)","(32.5675122, -116.9407611)",10200,10200,10200,10200,10200
PACIFIC BEACH DR,LAMONT ST,INGRAHAM ST,"(32.7954391, -117.2336269)","(32.7954391, -117.2336269)",2800,2800,2800,2800,2900
PACIFIC BEACH DR,INGRAHAM ST,RIVIERA DR,"(32.793957, -117.239098)","(32.793957, -117.239098)",5600,5600,5600,4300,4300
PACIFIC BEACH DR,RIVIERA DR,FANUEL ST,"(32.793362, -117.241798)","(32.793362, -117.241798)",12300,12300,12300,9900,8800
PACIFIC BEACH DR,FANUEL ST,CASS ST,"(32.7929629, -117.2446152)","(32.7929629, -117.2446152)",7800,7800,6800,6800,8100
PACIFIC BEACH DR,CASS ST,MISSION BLVD,"(32.7917668, -117.2501263)","(32.7917668, -117.2501263)",8400,8400,8400,8400,6800
PACIFIC CENTER BLVD,LUSK BLVD,MCKELLAR CT,"(32.9018497, -117.1995516)","(32.9018497, -117.1995516)",8700,7800,7800,7800,7800
PACIFIC CENTER BLVD,MCKELLAR CT,PACIFIC MESA BLVD,"(32.9032299, -117.1990563)","(32.9032299, -117.1990563)",7200,7200,7200,7200,7200
PACIFIC HEIGHTS BLVD,PACIFIC CENTER BLVD,BARNES CANYON RD,"(32.90406189999999, -117.1950987)","(32.90406189999999, -117.1950987)",7500,7500,7500,7400,7400
PACIFIC HEIGHTS BLVD,BARNES CANYON RD,MIRA MESA BLVD,"(32.9014983, -117.1934096)","(32.9014983, -117.1934096)",17700,17700,17700,17700,17700
PACIFIC HEIGHTS BLVD,MIRA MESA BLVD,CARROLL CANYON RD,"(32.9001783, -117.1893885)","(32.9001783, -117.1893885)",7700,7700,7900,7900,7900
PACIFIC HWY,SEA WORLD DR,ROSECRANS ST,"(32.7671957, -117.2086168)","(32.7671957, -117.2086168)",8300,8300,8300,6400,6400
PACIFIC HWY,ROSECRANS ST,TRANSIT CENTER,"(32.755467, -117.201201)","(32.755467, -117.201201)",15400,15400,13100,13100,13100
PACIFIC HWY SB,TRANSIT CENTER,KURTZ ST,"(32.7551959, -117.1995048)","(32.7551959, -117.1995048)",7000,7000,7000,7000,7000
PACIFIC HWY NB,TRANSIT CENTER,KURTZ ST,"(32.7551959, -117.1995048)","(32.7551959, -117.1995048)",7000,7000,7000,7000,7000
PACIFIC HWY SB,KURTZ ST,BARNETT AVE,"(32.75042, -117.201873)","(32.75042, -117.201873)",27600,27600,22300,22300,22300
PACIFIC HWY NB,KURTZ ST,BARNETT AVE,"(32.74226, -117.1875803)","(32.74226, -117.1875803)",27600,27600,22300,22300,22300
PACIFIC HWY SB,WASHINGTON ST,PACIFIC HWY VIADUCT (I-5),"(32.7417443, -117.1845027)","(32.7417443, -117.1845027)",31550,31550,31550,31550,31550
PACIFIC HWY NB,WASHINGTON ST,PACIFIC HWY VIADUCT (I-5),"(32.74226, -117.1875803)","(32.74226, -117.1875803)",31550,31550,31550,31550,31550
PACIFIC HWY,SASSAFRAS ST,LAUREL ST,"(32.7359542, -117.1783405)","(32.7359542, -117.1783405)",23000,23000,21600,21600,21600
PACIFIC HWY,LAUREL ST,HAWTHORN ST,"(32.7295411, -117.1736588)","(32.7295411, -117.1736588)",12800,12800,12800,8700,8700
PACIFIC HWY,HAWTHORN ST,GRAPE ST,"(32.7255565, -117.1720772)","(32.7255565, -117.1720772)",20000,20000,20000,20000,20000
PACIFIC HWY,GRAPE ST,ASH ST,"(32.7245702, -117.1716749)","(32.7245702, -117.1716749)",18500,18500,18500,18500,18500
PACIFIC HWY,ASH ST,BROADWAY,"(32.7199099, -117.1711126)","(32.7199099, -117.1711126)",13400,13200,13200,13200,13200
PACIFIC HWY,BROADWAY,F ST,"(32.7156437, -117.1711944)","(32.7156437, -117.1711944)",9400,9400,10100,10000,10000
PACIFIC HWY,F ST,G ST,"(32.7135563, -117.1711351)","(32.7135563, -117.1711351)",9700,9700,10200,10200,10200
PACIFIC HWY,G ST,HARBOR DR,"(32.7125339, -117.1711418)","(32.7125339, -117.1711418)",5800,5800,5800,7900,9400
PACIFIC HWY,HARBOR DR,SEAPORT VILLAGE,"(32.7115262, -117.1711341)","(32.7115262, -117.1711341)",5000,5000,5000,5000,5000
PACIFIC HWY VIADUCT (I-5),PACIFIC HWY,INTERSTATE 5 (QUINCE),"(32.7369968, -117.1784645)","(32.7369968, -117.1784645)",40000,40000,40000,40000,40000
PACIFIC MESA BLVD,PACIFIC CENTER BLVD,PACIFIC HEIGHTS BLVD,"(32.9046071, -117.1911304)","(32.9046071, -117.1911304)",7100,7100,7100,7100,7100
PACIFICA DR,BLUFFSIDE AVE,LORING ST,"(32.808998, -117.222229)","(32.808998, -117.222229)",4100,4100,4100,3800,3600
PALM AVE/ROUTE 75,13TH ST,SATURN BLVD,"(32.58381660000001, -117.1056841)","(32.58381660000001, -117.1056841)",46700,43100,43100,43100,45100
PALM AVE/ROUTE 75,SATURN BLVD,INTERSTATE 5,"(32.5837656, -117.0927213)","(32.5837656, -117.0927213)",63000,62900,62900,62900,35200
PALM AVE,INTERSTATE 5,HOLLISTER ST,"(32.5835648, -117.0897809)","(32.5835648, -117.0897809)",22800,22800,20900,20900,20900
PALM AVE,HOLLISTER ST,BEYER BLVD,"(32.5837759, -117.0840977)","(32.5837759, -117.0840977)",14100,13500,13500,13500,13500
PALM AVE,BEYER BLVD,BEYER WAY,"(32.5838629, -117.0711198)","(32.5838629, -117.0711198)",17600,17600,17600,13800,13800
PALM AVE,BEYER WAY,PICCARD AVE,"(32.5838324, -117.0619883)","(32.5838324, -117.0619883)",21900,18800,17200,17200,20100
PALM AVE,PICCARD AVE,TWINING AVE,"(32.583699, -117.050503)","(32.583699, -117.050503)",17500,17500,18100,18100,18100
PALM AVE,TWINING AVE,INTERSTATE 805,"(32.5837058, -117.0454109)","(32.5837058, -117.0454109)",28200,25100,25100,25100,28600
PALM ST,PACIFIC HWY,KETTNER BLVD,"(32.7326275, -117.1752147)","(32.7326275, -117.1752147)",3000,3000,3700,3700,3700
PALMILLA DR,LEBON DR,LA JOLLA COLONY DR,"(32.864923, -117.225434)","(32.864923, -117.225434)",6000,6000,6000,4900,4900
PARADISE VALLEY RD,MUNDA RD,POTOMAC ST,"(32.6889484, -117.0629668)","(32.6889484, -117.0629668)",17800,16700,16700,16700,17100
PARADISE VALLEY RD,POTOMAC ST,WOODMAN ST,"(32.6882871, -117.0488367)","(32.6882871, -117.0488367)",19300,19000,16300,16300,17900
PARADISE VALLEY RD,WOODMAN ST,BRIARWOOD RD,"(32.6890466, -117.0464344)","(32.6890466, -117.0464344)",17400,17400,17400,15700,15700
PARADISE VALLEY RD,BRIARWOOD RD,MEADOWBROOK DR,"(32.6917996, -117.0367916)","(32.6917996, -117.0367916)",16400,16400,16300,16300,16300
PARADISE VALLEY RD,MEADOWBROOK DR,SAN DIEGO CITY BOUNDARY,"(32.69754220000001, -117.025832)","(32.69754220000001, -117.025832)",19500,19500,19500,19100,19100
PARK BLVD,ADAMS AVE,MEADE AVE,"(32.7624652, -117.1462754)","(32.7624652, -117.1462754)",8900,8900,8900,6400,5200
PARK BLVD,MEADE AVE,EL CAJON BLVD,"(32.7572472, -117.1462647)","(32.7572472, -117.1462647)",16900,16900,13400,13400,13400
PARK BLVD,EL CAJON BLVD,HOWARD AVE,"(32.7551867, -117.1462665)","(32.7551867, -117.1462665)",10800,10800,10900,10900,10900
PARK BLVD,HOWARD AVE,UNIVERSITY AVE,"(32.7540309, -117.1464828)","(32.7540309, -117.1464828)",14500,14500,8900,11900,11900
PARK BLVD,UNIVERSITY AVE,ROBINSON AVE,"(32.7484173, -117.1462353)","(32.7484173, -117.1462353)",14200,13400,13400,13400,13500
PARK BLVD,ROBINSON AVE,MORLEY FIELD DR,"(32.7464265, -117.1464287)","(32.7464265, -117.1464287)",11700,11700,11000,11000,11900
PARK BLVD,MORLEY FIELD DR,ZOO PL,"(32.7402303, -117.1473312)","(32.7402303, -117.1473312)",9900,9900,9900,10400,10400
PARK BLVD,ZOO PL,VILLAGE PL,"(32.7352057, -117.1457371)","(32.7352057, -117.1457371)",17100,17100,17100,16000,16000
PARK BLVD,VILLAGE PL,PRESIDENTS WAY,"(32.733063, -117.1459487)","(32.733063, -117.1459487)",18400,18400,18600,18600,16900
PARK BLVD,PRESIDENTS WAY,INTERSTATE 5,"(32.7256071, -117.1505794)","(32.7256071, -117.1505794)",17900,18200,18200,18200,19500
PARK BLVD,INTERSTATE 5,RUSS BLVD,"(32.7287616, -117.1556849)","(32.7287616, -117.1556849)",9900,9900,16500,16500,16500
PARK BLVD,RUSS BLVD,B ST,"(32.7193908, -117.1538729)","(32.7193908, -117.1538729)",16000,16000,15300,15300,15300
PARK BLVD,B ST,C ST,"(32.71784, -117.1537019)","(32.71784, -117.1537019)",8300,8300,7200,8700,8700
PARK BLVD,C ST,BROADWAY,"(32.7167975, -117.1537103)","(32.7167975, -117.1537103)",3400,3400,4100,4100,4100
PARK BLVD,BROADWAY,F ST,"(32.7157768, -117.1538378)","(32.7157768, -117.1538378)",1200,1200,1800,1800,1800
PARK BLVD,F ST,G ST,"(32.7136532, -117.1538432)","(32.7136532, -117.1538432)",1100,1100,1400,1400,1400
PARK BLVD,G ST,MARKET ST,"(32.7126129, -117.1538472)","(32.7126129, -117.1538472)",1900,1900,1900,2300,2300
PARK BLVD,MARKET ST,IMPERIAL AVE,"(32.7115409, -117.1538821)","(32.7115409, -117.1538821)",700,700,1300,1900,1900
PARK RIDGE BLVD,MURRAY PARK DR,WANDEMERE DR,"(32.7922365, -117.0507115)","(32.7922365, -117.0507115)",1100,1100,1100,1300,1300
PARK RIDGE BLVD,WANDEMERE DR,NAVAJO RD,"(32.7963633, -117.0491307)","(32.7963633, -117.0491307)",4000,4000,3400,3400,3400
PARK RIDGE BLVD,NAVAJO RD,OAKRIDGE RD,"(32.8018351, -117.0498704)","(32.8018351, -117.0498704)",5400,5400,5400,5400,5400
PARK RIDGE BLVD,OAKRIDGE RD,JACKSON DR,"(32.8027532, -117.0507233)","(32.8027532, -117.0507233)",2600,2600,2600,2600,2900
PARK VILLAGE RD,MANNIX RD,CAMINO DEL SUR,"(32.9376927, -117.164614)","(32.9376927, -117.164614)",5400,5400,5400,5400,5600
PARK VILLAGE RD,CAMINO DEL SUR,DARKWOOD RD,"(32.9404297, -117.1520106)","(32.9404297, -117.1520106)",8900,8900,8900,8900,8900
PARK VILLAGE RD,DARKWOOD RD,BLACK MOUNTAIN RD,"(32.94007240000001, -117.1488114)","(32.94007240000001, -117.1488114)",17300,17300,17300,17500,16700
PARKDALE AVE,NORTHRUP DR,MIRA MESA BLVD,"(32.901142, -117.158119)","(32.901142, -117.158119)",4000,4000,4000,4000,3600
PARKDALE AVE,MIRA MESA BLVD,NEW SALEM ST,"(32.9106294, -117.15561)","(32.9106294, -117.15561)",4300,4300,4300,4700,4600
PARKSIDE AVE,ALTA VIEW DR,TONAWANDA DR/REO DR,"(32.675777, -117.04258)","(32.675777, -117.04258)",6000,6000,6400,6400,7800
PASEO DE LAS AMERICAS,AIRWAY RD,SIEMPRE VIVA RD,"(32.5602628, -116.935905)","(32.5602628, -116.935905)",4400,6300,6300,6300,6300
PASEO DEL VERANO,POMERADO RD,CUMANA TERRACE,"(33.0287195, -117.0594072)","(33.0287195, -117.0594072)",3400,3400,3400,3400,3400
PASEO DEL VERANO NORTE,CUMANA TERRACE,POMERADO RD,"(33.0329786, -117.0473548)","(33.0329786, -117.0473548)",4400,4400,4400,4400,4400
PASEO LUCIDO,BERNARDO HEIGHTS PKWY (N),BERNARDO HEIGHTS PKWY(S),"(33.0134183, -117.0756166)","(33.0134183, -117.0756166)",9900,9900,12000,12000,12000
PASEO LUCIDO,BERNARDO HEIGHTS PKWY (S),CAMINO DEL NORTE,"(33.0134183, -117.0756166)","(33.0134183, -117.0756166)",17200,17200,22100,22100,22100
PASEO MONTALBAN,BLACK MOUNTAIN RD,SALMON RIVER RD,"(32.9595947, -117.1264354)","(32.9595947, -117.1264354)",7900,7900,7300,7300,7300
PASEO MONTALBAN,SALMON RVIER RD,CARMEL MOUNTAIN RD,"(32.9598067, -117.1227649)","(32.9598067, -117.1227649)",8900,8900,8900,8900,8900
PASEO MONTRIL,CIJON ST,RANCHO PENASQUITOS BLVD,"(32.9463797, -117.1093862)","(32.9463797, -117.1093862)",2600,2600,2500,1300,1300
PASEO MONTRIL,RANCHO PENASQUITOS BLVD,END,"(32.9517043, -117.107833)","(32.9517043, -117.107833)",4800,4800,4400,4400,4400
PEARL ST,LA JOLLA BLVD,FAY AVE,"(32.8391112, -117.2784932)","(32.8391112, -117.2784932)",21200,21200,20200,20200,20200
PEARL ST,FAY ST,GIRARD AVE,"(32.8402314, -117.2737317)","(32.8402314, -117.2737317)",24900,24900,22700,22700,22700
PEARL ST,GIRARD AVE,HERSCHEL AVE,"(32.8405176, -117.2725154)","(32.8405176, -117.2725154)",7700,7700,7700,5100,5100
PEARL ST,HERSCHEL AVE,HIGH AVE,"(32.8407792, -117.2713772)","(32.8407792, -117.2713772)",3100,3100,3100,3000,3000
PENASQUITOS DR,CARMEL MOUNTAIN RD,ALMAZON ST,"(32.9775607, -117.090327)","(32.9775607, -117.090327)",19900,19900,19900,14200,14200
PENNANT WAY,REGENTS RD,STRESEMANN ST,"(32.8462507, -117.2194939)","(32.8462507, -117.2194939)",5600,5600,5600,5700,5700
PEREZ COVE WY,SEA WORLD DR,SOUTH SHORES RD,"(32.7622854, -117.2289782)","(32.7622854, -117.2289782)",3700,3700,3700,3700,3700
PEREZ COVE WY,SOUTH SHORES RD,INGRAHAM ST,"(32.76335359999999, -117.2318056)","(32.76335359999999, -117.2318056)",7900,7900,7900,7900,7900
PERSHING DR,UPAS ST,REDWOOD ST,"(32.7409579, -117.1337293)","(32.7409579, -117.1337293)",6000,6000,6300,6300,6300
PERSHING DR,REDWOOD ST,FLORIDA DR,"(32.7379953, -117.1344041)","(32.7379953, -117.1344041)",12600,13500,13500,13500,12800
PERSHING DR,FLORIDA DR,I-5/B ST,"(32.722789, -117.1426546)","(32.722789, -117.1426546)",36100,36100,33600,33600,33600
PHYLLIS PLACE,RON COURT,INTERSTATE 805,"(32.7854395, -117.1513825)","(32.7854395, -117.1513825)",2500,2500,2500,2500,2500
PICADOR BLVD,PALM AVE,BEYER WAY,"(32.5838629, -117.0711198)","(32.5838629, -117.0711198)",13600,13600,13600,14100,14100
PICADOR BLVD,BEYER WAY,DEL SOL BLVD,"(32.5819097, -117.0614511)","(32.5819097, -117.0614511)",10900,10900,10900,10900,10900
PICADOR BLVD,DEL SOL BLVD,ROUTE 905,"(32.5733739, -117.0540188)","(32.5733739, -117.0540188)",9500,9500,9500,19000,19000
PICCARD AVE,PALM AVE,DEL SOL BLVD,"(32.583699, -117.050503)","(32.583699, -117.050503)",5400,5400,5400,6000,6000
PICO/FELSPAR ST,BLUFFSIDE AVE,SOLEDAD MOUNTAIN RD,"(32.808998, -117.222229)","(32.808998, -117.222229)",4100,4100,9100,9100,9100
PINECREST AVE,MURRAY RIDGE RD,GREYLING DR,"(32.7981977, -117.1425446)","(32.7981977, -117.1425446)",700,700,700,700,700
PLAZA BLVD,PARADISE VALLEY RD,DAISY WAY,"(32.6889589, -117.06699)","(32.6889589, -117.06699)",4700,4700,4700,4700,4700
PLAZA BLVD,DAISY WAY,DIVISION ST,"(32.6927139, -117.0639962)","(32.6927139, -117.0639962)",4700,4700,4700,4400,4400
PLAZA BLVD,DIVISION ST,PLAZA TAXCO,"(32.6933975, -117.0630292)","(32.6933975, -117.0630292)",6200,6200,6200,6200,5700
PLAZA BLVD,PLAZA TAXCO,WOODMAN ST,"(32.695015, -117.0588488)","(32.695015, -117.0588488)",5500,5500,5500,5500,5500
PLUM ST,MACAULAY ST,LOWELL ST,"(32.7316006, -117.2292596)","(32.7316006, -117.2292596)",4400,4000,4000,4000,3700
POBLADO RD,WEST BERNARDO DR,MATINAL RD,"(33.02638, -117.0824191)","(33.02638, -117.0824191)",4000,4000,4000,6300,6300
POINSETTIA DR,LELAND ST,LOTUS DR,"(32.75037690000001, -117.2212685)","(32.75037690000001, -117.2212685)",4700,4700,4300,4300,5600
POINT LOMA AVE,SUNSET CLIFFS BLVD,SANTA BARBARA ST,"(32.7363006, -117.2548669)","(32.7363006, -117.2548669)",3700,3700,2400,2400,2400
POINT LOMA AVE,SANTA BARBARA ST,CATALINA BLVD,"(32.7320556, -117.2479171)","(32.7320556, -117.2479171)",5400,5500,5500,5300,5300
POINT LOMA AVE,CATALINA BLVD,CANON ST,"(32.7295669, -117.2436302)","(32.7295669, -117.2436302)",2100,2100,2200,2200,2200
POMERADO RD,INTERSTATE 15,HIGHLAND VALLEY RD,"(32.8900761, -117.1132802)","(32.8900761, -117.1132802)",19800,19800,19000,19000,19000
POMERADO RD,HIGHLAND VALLEY RD,PASEO DEL VERANO NORTE,"(33.0528823, -117.0671952)","(33.0528823, -117.0671952)",15100,15100,15100,10800,10800
POMERADO RD,PASEO DEL VERANO NORTE,GREENS EAST RD,"(33.0378316, -117.0606438)","(33.0378316, -117.0606438)",15200,15200,19300,19300,19300
POMERADO RD,GREENS EAST RD,RANCHO BERNARDO RD,"(33.028742, -117.0595301)","(33.028742, -117.0595301)",18700,18800,19900,20800,20300
POMERADO RD,RANCHO BERNARDO RD,BERNARDO HEIGHTS PKWY,"(33.0186464, -117.0608513)","(33.0186464, -117.0608513)",27900,19500,18800,16900,19500
POMERADO RD,CREEK RD/BEELER CANYON RD,LEGACY RD,"(32.9286697, -117.0541274)","(32.9286697, -117.0541274)",19800,19800,19800,19800,19800
POMERADO RD,LEGACY RD,SPRING CANYON RD,"(32.9259788, -117.0562024)","(32.9259788, -117.0562024)",21400,20600,21000,21200,18800
POMERADO RD,SPRING CANYON RD,SEMILLON BLVD,"(32.921702, -117.0626487)","(32.921702, -117.0626487)",16000,16000,16000,11700,11700
POMERADO RD,SEMILLON BLVD,FAIRBROOK RD,"(32.9153836, -117.0705556)","(32.9153836, -117.0705556)",19300,19300,19300,19700,19700
POMERADO RD,FAIRBROOK RD,AVENIDA MAGNIFICA,"(32.9077811, -117.0765176)","(32.9077811, -117.0765176)",20700,20700,20300,20300,20300
POMERADO RD,AVENIDA MAGNIFICA,SCRIPPS RANCH BLVD,"(32.9050341, -117.0847517)","(32.9050341, -117.0847517)",22100,22100,22100,22300,22300
POMERADO RD,SCRIPPS RANCH BLVD,WILLOW CREEK RD,"(32.8994587, -117.0989858)","(32.8994587, -117.0989858)",23700,23200,23200,23200,22200
POMERADO RD,WILLOW CREEK RD,INTERSTATE 15,"(32.8976403, -117.1025678)","(32.8976403, -117.1025678)",29100,27800,27800,27800,27600
PORTOBELLO DR,SANTO RD,VIA VALARTA,"(32.838664, -117.0979739)","(32.838664, -117.0979739)",5600,2500,2500,2500,2500
PORTOFINO DR,DEL MAR HEIGHTS RD,MANGO DR,"(32.9488712, -117.246331)","(32.9488712, -117.246331)",1700,1700,1700,1700,1900
PORTOFINO DR,MANGO DR,CARMEL VALLEY RD,"(32.9405713, -117.2430231)","(32.9405713, -117.2430231)",2100,2100,2100,2100,2100
POTOMAC ST,RACHEL AVE,REO DR,"(32.676373, -117.0708146)","(32.676373, -117.0708146)",2300,2300,2300,2300,2300
POTOMAC ST,REO DR,CALLE TRES LOMAS,"(32.6781492, -117.067081)","(32.6781492, -117.067081)",2300,2300,2300,2300,1700
POTOMAC ST,CALLE TRES LOMAS,ALTA VIEW DR,"(32.679359, -117.057487)","(32.679359, -117.057487)",4500,3800,3800,5000,3400
POTOMAC ST,ALTA VIEW DR,PARADISE VALLEY RD,"(32.684631, -117.05127)","(32.684631, -117.05127)",5800,5800,5800,5600,5600
POWAY RD,INTERSTATE 15,SABRE SPRINGS PKWY,"(32.9453834, -117.1074077)","(32.9453834, -117.1074077)",44100,45300,45300,40400,44000
POWAY RD,SABRE SPRINGS PKWY,CITY LIMITS,"(32.9470526, -117.0957672)","(32.9470526, -117.0957672)",37800,37800,37300,37700,37700
PRESIDENTS WY,PAN AMERICAN RD,PARK BLVD,"(32.7285233, -117.1533318)","(32.7285233, -117.1533318)",4200,4200,4200,6500,6500
